温度层别,厚度层别,长度层别,宽度上限,宽度下限,钢种层别,,,初始辊速,加速度,水量1,水量2,水量3,水量4,水比1,水比2,水比3,水比4,边腔水比1,边腔水比2,边腔水比3,边腔水比4,初始冷却时间,C水量下限,C水量上限
8,1,2,4100,1000,0,,,1.6,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
8,2,2,4100,1000,0,,,1.6,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
8,3,2,4100,1000,0,,,1.5,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
8,4,2,4100,1000,0,,,1.5,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
8,5,2,4100,1000,0,,,1.3,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
8,6,2,4100,1000,0,,,1.3,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
8,7,2,4100,1000,0,,,1.1,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
8,8,2,4100,1000,0,,,1.1,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
8,9,2,4100,1000,0,,,1.1,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
8,10,2,4100,1000,0,,,1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
8,11,2,4100,1000,0,,,1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
8,12,2,4100,1000,0,,,0.9,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
8,13,2,4100,1000,0,,,0.8,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
8,14,2,4100,1000,0,,,0.75,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
8,15,2,4100,1000,0,,,0.6,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,1,95,105
9,1,2,4100,1000,0,,,1.6,0.012,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,2.5,65,75
9,2,2,4100,1000,0,,,1.6,0.01,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,5,65,75
9,3,2,4100,1000,0,,,1.5,0.009,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
9,4,2,4100,1000,0,,,1.5,0.008,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
9,5,2,4100,1000,0,,,1.3,0.007,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
9,6,2,4100,1000,0,,,1.3,0.006,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
9,7,2,4100,1000,0,,,1.1,0.005,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
9,8,2,4100,1000,0,,,1.1,0.004,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
9,9,2,4100,1000,0,,,1.1,0.003,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
9,10,2,4100,1000,0,,,1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
9,11,2,4100,1000,0,,,1,0.003,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
9,12,2,4100,1000,0,,,0.9,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
9,13,2,4100,1000,0,,,0.7,0.002,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
9,14,2,4100,1000,0,,,0.75,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
9,15,2,4100,1000,0,,,0.6,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
10,1,2,4100,1000,0,,,1.5,0.004,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
10,2,2,4100,1000,0,,,1.5,0.004,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,1,65,75
10,3,2,4100,1000,0,,,1.4,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,2.5,65,75
10,4,2,4100,1000,0,,,1.4,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,5.5,65,75
10,5,2,4100,1000,0,,,1.2,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
10,6,2,4100,1000,0,,,1.2,0.001,70,70,70,70,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,65,75
10,7,2,4100,1000,0,,,1,0.001,80,80,80,80,1.8,1.8,1.8,1.8,0.35,0.35,0.35,0.35,15,75,85
10,8,2,4100,1000,0,,,1,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
10,9,2,4100,1000,0,,,1,0.001,80,80,80,80,1.9,1.9,1.9,1.9,0.35,0.35,0.35,0.35,15,75,85
10,10,2,4100,1000,0,,,0.9,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
10,11,2,4100,1000,0,,,0.9,0.001,80,80,80,80,2,2,2,2,0.35,0.35,0.35,0.35,15,75,85
10,12,2,4100,1000,0,,,0.8,0.001,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
10,13,2,4100,1000,0,,,0.7,0,90,90,90,90,2.1,2.1,2.1,2.1,0.35,0.35,0.35,0.35,15,85,95
10,14,2,4100,1000,0,,,0.65,0,100,100,100,100,2.3,2.3,2.3,2.3,0.35,0.35,0.35,0.35,15,95,105
10,15,2,4100,1000,0,,,0.5,0,100,100,100,100,2.4,2.4,2.4,2.4,0.35,0.35,0.35,0.35,15,95,105
11,1,2,4100,1000,0,,,1.4,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
11,2,2,4100,1000,0,,,1.4,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
11,3,2,4100,1000,0,,,1.5,0.001,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,15,65,75
11,4,2,4100,1000,0,,,1.4,0.004,70,70,70,70,1.7,1.7,1.7,1.7,0.35,0.35,0.35,0.35,1,65,75
